"A","Qin","Ci","Tleaf","curve_identifier"
25.81686913,1999.95,279.8421967,30.0135,"ripe2 - 1"
22.06980471,1100.11,267.5937285,30.0199,"ripe2 - 1"
20.74794545,799.968,272.4049699,30.0731,"ripe2 - 1"
18.02646444,650.157,266.7352887,30.0209,"ripe2 - 1"
15.83123679,500.058,275.4256161,29.9797,"ripe2 - 1"
12.21489171,349.935,294.0261205,30.0011,"ripe2 - 1"
7.092817306,200.05,323.2964302,29.9658,"ripe2 - 1"
21.81506272,1999.91,246.3190818,29.9844,"ripe2 - 2"
22.72042056,1099.99,265.6888304,29.967,"ripe2 - 2"
20.66766356,800.063,266.5267153,30.0055,"ripe2 - 2"
20.04647781,650.12,283.5827927,30.0034,"ripe2 - 2"
16.863508,499.809,292.7789421,29.9916,"ripe2 - 2"
11.98795106,350.023,295.7981881,29.9987,"ripe2 - 2"
6.589721156,199.976,322.4407954,29.9812,"ripe2 - 2"
25.98022273,2000.19,277.9474676,29.977,"ripe2 - 3"
22.93808033,1099.86,282.4451176,29.9952,"ripe2 - 3"
21.27119541,800.009,289.0659376,30.0008,"ripe2 - 3"
19.29760933,649.986,291.3691195,29.9875,"ripe2 - 3"
16.16973515,499.953,293.4553748,30.0135,"ripe2 - 3"
12.06572859,350.096,303.7601562,29.9943,"ripe2 - 3"
6.903992118,200.172,329.2084909,29.867,"ripe2 - 3"
25.17865926,1999.72,278.197454,30.021,"ripe15 - 1"
22.11127851,1100.13,263.5812643,30.0389,"ripe15 - 1"
18.97071839,799.743,257.5781684,29.9944,"ripe15 - 1"
17.9053354,650.036,266.8286386,29.9869,"ripe15 - 1"
15.81205806,500.237,279.0793288,29.9245,"ripe15 - 1"
11.70466807,350.184,293.8923836,29.9766,"ripe15 - 1"
6.677116288,200.021,321.8234941,29.9458,"ripe15 - 1"
29.93777688,1999.96,289.384812,29.9832,"ripe15 - 2"
21.189707,1099.93,256.6044473,29.9905,"ripe15 - 2"
22.81571816,799.939,282.1272523,29.9815,"ripe15 - 2"
20.01404932,650.082,283.66618,30.0311,"ripe15 - 2"
16.21656204,499.86,285.8685012,29.9985,"ripe15 - 2"
12.01838101,350.057,303.0645782,29.9863,"ripe15 - 2"
6.535863431,199.936,323.6825682,30.0332,"ripe15 - 2"
31.17817447,1999.93,277.1432019,29.9746,"ripe15 - 3"
28.48092098,1100.1,288.8400898,30.0385,"ripe15 - 3"
23.96189719,800.003,283.1961767,30.03,"ripe15 - 3"
21.5102712,649.954,308.511874,30.0329,"ripe15 - 3"
17.42594794,499.975,298.7433301,29.9997,"ripe15 - 3"
12.46216935,349.866,321.2379601,29.8144,"ripe15 - 3"
5.999831719,200.216,332.7254907,29.9874,"ripe15 - 3"
